text,label
Your account has been suspended. Click here to verify.,phishing
Verify your bank account immediately to avoid closure.,phishing
Congratulations! You have won a lottery prize.,phishing
Urgent action required. Login using the link below.,phishing
Your PayPal account needs verification.,phishing
Claim your reward now by clicking this link.,phishing
Security alert! Update your password immediately.,phishing
You have received an unexpected refund.,phishing
Meeting scheduled for tomorrow at 10 AM.,safe
Please find attached the monthly report.,safe
Thank you for your purchase.,safe
Your order has been successfully delivered.,safe
Project discussion has been moved to Friday.,safe
The training session starts at 2 PM.,safe
Happy Birthday! Wishing you a wonderful year ahead.,safe
Please review the attached document and provide feedback.,safe